participant_num,post_errors
p20nodbot,"[1.1640000000000015, 4.742000000000001]"
p17nodbot,"[1.08, 1.8230000000000004, 0.6750000000000007, 0.2699999999999996]"
p7nodbot,"[0.0, 1.620000000000001, 2.2779999999999987]"
p2nodbot,"[0.33699999999999974, 1.4009999999999998, 0.6739999999999995]"
p28nodbot,"[0.6580000000000013, 3.7119999999999997, 0.9110000000000014]"
p12nodbot,"[1.129999999999999, 0.8270000000000017, 2.0420000000000016]"
p25nodbot,"[0.641, 1.3840000000000003, 2.9200000000000017]"
p22nodbot,"[0.37100000000000044, 1.315999999999999, 2.379999999999999]"
p8nodbot,"[0.6750000000000007, 0.9280000000000008, 0.0]"
p5nodbot,"[0.6070000000000011, 0.6580000000000013, 2.969999999999999]"
p18nodbot,"[0.5400000000000009, 2.445999999999998, 1.181000000000001, 0.6580000000000013]"
p27nodbot,"[0.6240000000000006, 5.552]"
p10nodbot,"[0.9450000000000003, 3.7459999999999987, 1.5519999999999996]"
p3nodbot,[39.63999999999999]
p29nodbot,"[1.2650000000000006, 0.15200000000000102, 0.8599999999999994, 0.5229999999999997, 4.405000000000001]"
p24nodbot,[0.4220000000000006]
p21nodbot,"[0.927999999999999, 2.396000000000001]"
p16nodbot,"[1.1820000000000004, 1.0799999999999983, 0.8099999999999987]"
p6nodbot,"[1.0790000000000006, 1.282, 4.404]"
p26nodbot,"[0.6920000000000002, 1.4519999999999982, 4.236000000000001]"
p11nodbot,"[0.5570000000000004, 1.468, 0.5399999999999991]"
p14nodbot,"[0.9280000000000008, 1.2989999999999995, 1.113000000000003]"
p23nodbot,"[0.6590000000000007, 6.344999999999999, 0.4059999999999988]"
p9nodbot,"[0.0, 0.9959999999999987, 1.4179999999999993]"
p4nodbot,"[0.6579999999999995, 0.690999999999999, 1.3829999999999991]"
p19nodbot,"[0.40500000000000114, 2.2620000000000005]"
