speaker,start,end,duration
participant,03.322,04.638,1.316
participant,07.102,07.524,0.422
participant,08.333,09.059,0.726
nodbot,10.173,10.865,0.692
nodbot,10.932,12.366,1.434
participant,13.548,14.476,0.928
nodbot,15.623,17.783,2.160
participant,18.863,19.622,0.759
participant,20.568,21.024,0.456
participant,21.395,22.121,0.726
participant,22.441,23.352,0.911
nodbot,24.466,26.643,2.177
participant,27.453,29.427,1.974
participant,30.828,31.351,0.523
participant,31.655,32.263,0.608
participant,33.747,34.084,0.337
nodbot,35.688,37.899,2.211
