,feature,importance,importance_drop
0, gaze_0_x,0.0934678107680719,0.015335461717458587
1, gaze_angle_x,0.0920560881523525,0.02902838190285384
2, gaze_0_z,0.0894592314180146,0.15924747957573482
3, gaze_1_x,0.0771700892123183,0.03035743543954683
4, gaze_1_z,0.0748964258013995,0.29961535980397236
5, gaze_1_y,0.0576296865348656,0.017115422284129433
6, gaze_angle_y,0.0566599279415575,0.23861682490366665
7, gaze_0_y,0.0457445166272178,0.39824281958753094
8,rightwrist_x_delta,0.0327157171747265,0.03261176654517972
9,rightwrist_y_delta,0.0316824950428212,0.3584101997153597
10,righteye_x_delta,0.0233232163962402,0.2260333718997889
11,nose_x_delta,0.0190233128484096,0.06313179967581095
12,rightelbow_x_delta,0.0178936542526623,0.002166135839449801
13,leftwrist_x_delta,0.017854977945023,0.04394667457371404
14,lefteye_x_delta,0.0171033429004541,0.029860807851990412
15,leftwrist_y_delta,0.0166074315772119,0.3033855309283209
16,righteye_y_delta,0.0127417645686027,0.018559220074672034
17,nose_y_delta,0.012509596219323,0.019212850619953814
18,lefteye_y_delta,0.012273781881492,0.1973349407608378
19,leftear_x_delta,0.0102509176535788,0.05885501840529295
20,leftear_y_delta,0.0096811343152695,0.07147040562601537
21,rightear_y_delta,0.0090353725725287,0.05159581627683174
22,leftshoulder_x_delta,0.0085920583105003,0.0003332269377864794
23,rightear_x_delta,0.0085891961589662,0.009456269804966277
24,Loudness_sma3,0.0085087352626238,0.046817519265799135
25,leftelbow_x_delta,0.0081281934110078,0.048309435250541766
26,spectralFlux_sma3,0.0077536203888742,0.01219273953124489
27,rightelbow_y_delta,0.0076602213057416,0.03556956863400562
28,leftelbow_y_delta,0.0073971093181562,0.004969402483034235
29,F2bandwidth_sma3nz,0.0073605318727911,0.029485521327681452
30,F2frequency_sma3nz,0.0071497186898739,0.016362466164898892
31,F3frequency_sma3nz,0.0070346150393101,0.030427776095916848
32,F1bandwidth_sma3nz,0.0068268880192291,0.025077993696675627
33,F1frequency_sma3nz,0.0066598717963008,0.007289596711391955
34,neck_x_delta,0.0066116753494169,0.053907911294130306
35,leftshoulder_y_delta,0.0062734848828473,0.03783178885844585
36,rightshoulder_y_delta,0.0060447993115992,0.04601426728870184
37,neck_y_delta,0.0057788880138963,0.014474920478485975
38,F3bandwidth_sma3nz,0.0056964326049289,0.08221909742435729
39,rightshoulder_x_delta,0.0052636592890351,0.030643777146322604
40,F0semitoneFrom27.5Hz_sma3nz,0.0051071567167555,0.08454940486208384
41,hammarbergIndex_sma3,0.0047090125114263,0.07952345395565308
42,F3amplitudeLogRelF0_sma3nz,0.0043621215399918,0.41265125260083435
43,alphaRatio_sma3,0.0030878969823307,0.2265053241055115
44,F2amplitudeLogRelF0_sma3nz,0.0025176384656811,0.005520342478159801
45,mfcc3_sma3,0.002503816540873,0.017634961561054707
46,mfcc1_sma3,0.0024604270052123,0.12266006259461237
47,slope0-500_sma3,0.0021916046425718,0.09115142951525956
48,logRelF0-H1-A3_sma3nz,0.0020085247411951,3.0086702813125754e-05
49,jitterLocal_sma3nz,0.0020084643131262,0.033020337212541495
50,slope500-1500_sma3,0.0019442640582912,0.03528614227243554
51,HNRdBACF_sma3nz,0.0018779967961549,0.038154069133950363
52,mfcc4_sma3,0.0018089769640084,0.05638742760977222
53,shimmerLocaldB_sma3nz,0.0017124181116974,0.003225371251784681
54,F1amplitudeLogRelF0_sma3nz,0.0017069126845952,0.10413398629932735
55,mfcc2_sma3,0.0015459289413925,0.15657133486111374
56,logRelF0-H1-H2_sma3nz,0.0013366481554535,
